kind	id	a	b	t0	r2_or_tfail	extra
fit	8	9.999999999408743	0.004927366682516991	1.480809705919659	0.983166844066943	6.492129987689326
fit	9	9.999878841646428	0.0026732697421378068	2.0933358931265045	0.99438432103625	11.330304281636668
fit	10	9.999999999999998	0.00246927339603098	0.0	0.6011561769741325	9.999950847913974
fit	11	9.999999996495538	0.002062924339072657	2.881830049509224	0.9848159055773859	14.851543204388657
fit	12	0.16658112905408146	0.09071234113700871	1.983221209830196	0.9828432088779405	12.087676308894471
fit	14	9.9999999999678	0.004094627234341193	1.111944825442734	0.9414444625105303	7.142435802339433
unit	id	sigma	S	a	b	t0	t_fail	t_alarm	hit	fa_rate
unit	64	0	0.08628542398493783	8.361438060979085	0.2673441996253739	0.010004255436875102	nan	nan	nan	0	283.0
unit	65	1	0.07353800740971879	8.566532747463366	23.420973537851133	0.008946377581189883	60.84046925867712	62.02727657085085	0.4236111111111111	1	nan
unit	66	0	0.5998237311057958	1.6316276612167815	1.8072969856137187	0.0009113908975371329	nan	nan	nan	0	49.8
unit	67	1	0.06945089529985875	9.022742269823246	0.5256103433729143	0.014765768869851736	60.80523150020395	87.15605119155373	0.02361111111111111	1	nan
unit	68	0	0.5998237311057958	1.6316276612167815	7.840930317041723	0.0028269428771243127	nan	nan	nan	0	505.2
unit	69	1	0.07353800740971879	8.566532747463366	17.12531052829268	0.04664922204582382	11.60490833041671	11.915583316293036	0.05416666666666667	1	nan
unit	70	0	0.241511327416282	4.075903805078148	5.556985806782893	0.004930566205865955	nan	nan	nan	0	419.9
unit	71	1	0.43684887945814554	2.2241310401199943	3.301471512751158	0.005894596924424876	7.759637716401914	20.142799302141892	0.10694444444444444	1	nan
unit	72	0	0.07172854276038826	8.946408935785406	1.6674072632895518	0.0055446972967934105	nan	nan	nan	0	332.65
unit	73	1	0.07889793219269021	8.499716642980067	56.5677955037328	0.0006573538532873897	37.46946400394825	44.17778177717794	0.2222222222222222	1	nan
unit	74	0	0.07044084803853763	8.652551455057065	72.88537211179117	0.006604473971614934	nan	nan	nan	0	545.15
unit	75	1	0.2791776079740415	3.163557797834569	7.584944093399697	0.009536595679641843	84.06025918167293	87.46068626099415	0.7583333333333333	1	nan
unit	76	0	0.0675836924517922	9.494772358585028	0.3107553109292233	0.002533478346925462	nan	nan	nan	0	37.45
unit	77	1	0.06271659177689277	8.94459617454187	20.183696040558672	0.0020340982761097508	91.64430900446112	97.69620591746725	0.019444444444444445	1	nan
unit	78	0	0.47051878617467896	1.8354805616078302	26.94511841125684	0.007778157309257091	nan	nan	nan	0	243.3
unit	79	1	0.17150235877700495	4.7662767211909225	18.402745407099342	0.0283209849653313	24.044087227011076	24.52053540475599	0.07361111111111111	1	nan
unit	80	0	0.43684887945814554	2.2241310401199943	6.401095318895403	0.033336838662714634	nan	nan	nan	0	400.95
unit	81	1	0.07441020346924392	7.329060131644633	4.227698040479208	0.004444056301203567	37.593860961276434	50.52156343997194	0.3486111111111111	1	nan
unit	82	0	0.06570933727675661	8.085177409598394	4.543475070116962	0.011864000058917789	nan	nan	nan	0	621.45
