cmplid	elapsed_s	elapsed_kind	persist	recovery
1202720		none	unreadable	unreadable
1204572		none	unreadable	unreadable
1207189	1200	time	unreadable	spontaneous
1211857		none	unreadable	unreadable
1213591		none	until_reset	ignition
1214507		none	unreadable	unreadable
1215426		none	until_reset	ignition
1216457		none	until_reset	ignition
1216772		none	unreadable	unreadable
1220880		none	unreadable	unreadable
1223217		none	momentary	unreadable
1223771		none	unreadable	unreadable
1227401		none	unreadable	unreadable
1229177		none	unreadable	unreadable
1232751		none	unreadable	unreadable
1234335		none	unreadable	unreadable
1238662		none	momentary	unreadable
1239802		none	unreadable	unreadable
1240901		none	until_reset	ignition
1243793	172800	time	until_reset	ignition
1249466		none	until_reset	ignition
1251358		none	momentary	unreadable
1254250		none	momentary	unreadable
1254328		none	unreadable	unreadable
1256958		none	unreadable	unreadable
1257337		none	until_reset	ignition
1258907		none	until_reset	ignition
1259928		none	until_reset	ignition
1261394		none	until_reset	rest_or_cool
1261652		none	unreadable	unreadable
1266203		none	until_reset	ignition
1267115		none	unreadable	unreadable
1267166		none	unreadable	unreadable
1268930		none	unreadable	unreadable
1270144		none	unreadable	unreadable
1271611		none	until_reset	rest_or_cool
1272517		none	unreadable	spontaneous
1273402		none	unreadable	unreadable
1274027	300	time	until_reset	ignition
1276501		none	until_reset	ignition
1276785		none	until_reset	ignition
1276880		none	unreadable	unreadable
1281441		none	unreadable	unreadable
1283626		none	until_reset	ignition
1285322		none	unreadable	unreadable
1286806		none	unreadable	unreadable
1288743		none	until_reset	ignition
1293115		none	unreadable	unreadable
1296179		none	unreadable	spontaneous
1297818	1200	time	unreadable	unreadable
1298444		none	unreadable	unreadable
1298997		none	unreadable	unreadable
1300024		none	until_reset	rest_or_cool
1300743		none	unreadable	unreadable
1304075		none	unreadable	unreadable
1304727		none	until_reset	ignition
1305055		none	unreadable	unreadable
1305207		none	until_reset	ignition
1306246		none	momentary	unreadable
1312311		none	until_reset	ignition
1312935		none	unreadable	unreadable
1313807		none	until_reset	ignition
1318599		none	until_reset	rest_or_cool
1319744		none	momentary	unreadable
1320886		none	unreadable	spontaneous
1324800		none	unreadable	unreadable
1325524		none	until_reset	ignition
1327204		none	unreadable	unreadable
1329843		none	unreadable	spontaneous
1330742		none	until_reset	ignition
1331382		none	unreadable	unreadable
1331618		none	unreadable	unreadable
1332529		none	until_reset	ignition
1334753		none	until_reset	ignition
1335220		none	unreadable	unreadable
1335423		none	until_reset	ignition
1335681		none	until_reset	ignition
1335684		none	until_reset	ignition
1338387		none	until_reset	ignition
1341531		none	unreadable	unreadable
1342897		none	momentary	unreadable
1344655		none	unreadable	unreadable
1346821		none	unreadable	unreadable
1347536		none	unreadable	unreadable
1348903		none	unreadable	unreadable
1350046		none	unreadable	unreadable
1350588		none	unreadable	unreadable
1352314		none	unreadable	unreadable
1355450		none	unreadable	unreadable
