segment	bias	drift	asymmetry	lag	gain_dev	hf_noise	z_bias	z_drift	z_asymmetry	z_lag	z_gain_dev	z_hf_noise	max_abs_z	top_feature	n_valid	v_mean
00151	0.00494	-8e-05	0.07113	0.1	-0.07336	0.02384	1.70288	-0.33549	1.45534	0.0	-1.02181	-0.81734	1.70288	bias	599	18.60315
00152	0.00744	-0.00071	0.04772	0.1	-0.02375	0.04064	2.4797	-2.65119	0.71497	0.0	0.23151	0.36414	2.65119	drift	600	18.0517
00153	-0.004	-0.00015		0.1	-0.06497	0.03077	-1.06634	-0.56607		0.0	-0.81	-0.32986	1.06634	bias	599	20.80149
00154	0.00548	-0.00089	0.02284	0.1	-0.03122	0.02847	1.86972	-3.32445	-0.07203	0.0	0.0428	-0.4917	3.32445	drift	600	16.60972
00155	-0.00208	-0.00019	0.01284	0.1	-0.00566	0.02603	-0.47362	-0.71105	-0.38858	0.0	0.68848	-0.6634	0.71105	drift	600	17.83185
00156	-0.00476	-7e-05		0.2	-0.14687	0.01835	-1.30228	-0.291		0.67449	-2.87913	-1.20371	2.87913	gain_dev	599	19.24806
00157	-0.00434	0.00015		0.0	-0.03317	0.05486	-1.1714	0.53977		-0.67449	-0.00639	1.36452	1.36452	hf_noise	599	34.86946
00158	-0.00484	0.00085	0.02283	0.0	-0.01796	0.04002	-1.32723	3.13233	-0.07239	-0.67449	0.37789	0.32049	3.13233	drift	599	26.23492
00159	-0.00277	-0.00033		0.1	-0.08811	0.02193	-0.68625	-1.25155		0.0	-1.3946	-0.95145	1.3946	gain_dev	477	13.92344
00160	-0.00154	-0.00049		0.0	-0.03022	0.03393	-0.30596	-1.83913		-0.67449	0.06799	-0.10789	1.83913	drift	599	26.42415
00161	0.00284	-0.00023		0.2	-0.05783	0.04362	1.05184	-0.87854		0.67449	-0.62962	0.57368	1.05184	bias	599	31.41483
00163	-0.00191	7e-05	0.02479	0.2	-0.02545	0.02496	-0.4191	0.23044	-0.01053	0.67449	0.18864	-0.73874	0.73874	hf_noise	600	16.86102
00164	-0.00599	-0.00028		0.2	-0.29772	0.05327	-1.68424	-1.05727		0.67449	-6.69021	1.25258	6.69021	gain_dev	599	33.08274
00165	-0.00538	9e-05	0.02554	0.1	-0.02273	0.05713	-1.49367	0.32259	0.0132	0.0	0.25726	1.52437	1.52437	hf_noise	600	29.13366
00166	0.00275	-0.00022	0.00177	0.1	0.00325	0.03207	1.0238	-0.83356	-0.73881	0.0	0.9136	-0.23854	1.0238	bias	600	16.18638
00167	-0.00252	-0.00028		0.2	-0.12065	0.01398	-0.60938	-1.05029		0.67449	-2.21666	-1.51052	2.21666	gain_dev	484	15.9675
00168	0.00209	4e-05		0.2	-0.13427	0.02056	0.82025	0.12769		0.67449	-2.56068	-1.04759	2.56068	gain_dev	599	20.78051
00169	0.00111	5e-05		0.2	-0.17265	0.01637	0.51766	0.14933		0.67449	-3.53056	-1.34262	3.53056	gain_dev	600	13.1138
00170	0.00166	-0.00034	0.05479	0.2	-0.05528	0.03965	0.68797	-1.29005	0.93854	0.67449	-0.56503	0.29444	1.29005	drift	600	29.34174
00171	-0.00095	-0.0009		0.2	-0.15702	0.04284	-0.12122	-3.36933		0.67449	-3.13568	0.51883	3.36933	drift	600	34.44417
00172	-0.00305	-0.00035	0.11455	0.0	-0.07633	0.01792	-0.77152	-1.32301	2.82923	-0.67449	-1.097	-1.23372	2.82923	asymmetry	600	14.71525
00173	-0.00029	-7e-05	0.06171	0.1	-0.05941	0.03904	0.08206	-0.26355	1.15755	0.0	-0.66948	0.25164	1.15755	asymmetry	599	21.65355
00174	0.00109	2e-05	0.00627	0.1	-0.00321	0.03008	0.5103	0.07102	-0.59629	0.0	0.75039	-0.37859	0.75039	gain_dev	530	8.5577
00175	0.00147	-0.00013		0.1	-0.19599	0.0411	0.62948	-0.49082		0.0	-4.12003	0.39694	4.12003	gain_dev	599	30.35146
00176	0.00201	-0.00031	0.05555	0.1	-0.01397	0.06841	0.79604	-1.17996	0.96254	0.0	0.47855	2.31768	2.31768	hf_noise	596	24.69863
00177	0.00149	0.00034		0.2	-0.08071	0.05453	0.63553	1.24034		0.67449	-1.20749	1.34163	1.34163	hf_noise	599	29.7796
00178	0.00072	-1e-05		0.1	-0.15768	0.02823	0.39424	-0.05423		0.0	-3.15217	-0.50879	3.15217	gain_dev	600	19.46593
00179	0.00297	-0.00016	0.02632	0.1	-0.00271	0.05281	1.09149	-0.61521	0.03789	0.0	0.76304	1.2205	1.2205	hf_noise	600	34.85677
00180	-0.0009	-3e-05		0.2	-0.31766	0.01479	-0.10691	-0.14907		0.67449	-7.19407	-1.45371	7.19407	gain_dev	565	15.30935
